language,model,generated_file,status,error,similarity_to_short,similarity_to_standard,similarity_to_long,average_similarity,maximum_similarity,passes_0_75,similarity_to_reference
Arabic,XTTS-v2,outputs/xtts/arabic/reference_tests/ar_greeting_standard.wav,success,,0.519903,0.629504,0.47167,0.540359,0.629504,False,
Arabic,Chatterbox,outputs/chatterbox/arabic/ar_clone_01_greeting.wav,success,,0.62208,0.81329,0.51266,0.649343,0.81329,True,
Arabic,Chatterbox,outputs/chatterbox/arabic/ar_clone_01_greeting_ref_long.wav,success,,0.611568,0.610349,0.756915,0.65961,0.756915,True,
Arabic,Chatterbox,outputs/chatterbox/arabic/ar_clone_01_greeting_ref_short.wav,success,,0.785502,0.671576,0.551992,0.66969,0.785502,True,
Arabic,Chatterbox,outputs/chatterbox/arabic/ar_clone_01_greeting_ref_standard.wav,success,,0.62208,0.81329,0.51266,0.649343,0.81329,True,
Arabic,Chatterbox,outputs/chatterbox/arabic/ar_clone_01_temp06_cfg05.wav,success,,0.62208,0.81329,0.51266,0.649343,0.81329,True,
Arabic,Chatterbox,outputs/chatterbox/arabic/ar_clone_01_temp07_cfg04.wav,success,,0.631449,0.822289,0.554028,0.669256,0.822289,True,
Arabic,Chatterbox,outputs/chatterbox/arabic/ar_clone_01_temp07_cfg05.wav,success,,0.620462,0.815291,0.540452,0.658735,0.815291,True,
Arabic,Chatterbox,outputs/chatterbox/arabic/ar_clone_01_temp07_cfg06.wav,success,,0.627026,0.794922,0.4757,0.632549,0.794922,True,
Arabic,Chatterbox,outputs/chatterbox/arabic/ar_clone_01_temp08_cfg05.wav,success,,0.644225,0.841807,0.569418,0.68515,0.841807,True,
Arabic,Chatterbox,outputs/chatterbox/arabic/ar_clone_02_technology.wav,success,,0.614993,0.738881,0.517314,0.623729,0.738881,False,
Arabic,Chatterbox,outputs/chatterbox/arabic/ar_clone_03_conversational.wav,success,,0.664482,0.833669,0.595229,0.697794,0.833669,True,
Arabic,Chatterbox,outputs/chatterbox/arabic/ar_clone_04_numbers.wav,success,,0.646852,0.803312,0.585353,0.678506,0.803312,True,
Arabic,Chatterbox,outputs/chatterbox/arabic/ar_clone_05_expressive.wav,success,,0.718464,0.80675,0.623449,0.716221,0.80675,True,
English,NeuTTS,outputs/neutts/english/air_evaluation/air_01_greeting.wav,success,,,,,0.542493,0.542493,False,0.542493
English,NeuTTS,outputs/neutts/english/air_evaluation/air_02_identity.wav,success,,,,,0.503958,0.503958,False,0.503958
English,NeuTTS,outputs/neutts/english/air_evaluation/air_03_support.wav,success,,,,,0.423502,0.423502,False,0.423502
English,NeuTTS,outputs/neutts/english/air_evaluation/air_04_numbers.wav,success,,,,,0.575726,0.575726,False,0.575726
English,NeuTTS,outputs/neutts/english/air_evaluation/air_05_expressive.wav,success,,,,,0.517609,0.517609,False,0.517609
Hindi,Chatterbox,outputs/chatterbox/hindi/conversational/conversational_01_assistance.wav,success,,,,,0.737563,0.737563,False,0.737563
Hindi,Chatterbox,outputs/chatterbox/hindi/conversational/conversational_02_support.wav,success,,,,,0.627014,0.627014,False,0.627014
Hindi,Chatterbox,outputs/chatterbox/hindi/conversational/conversational_03_schedule.wav,success,,,,,0.672351,0.672351,False,0.672351
Hindi,Chatterbox,outputs/chatterbox/hindi/conversational/conversational_04_clarify.wav,success,,,,,0.72534,0.72534,False,0.72534
Hindi,Chatterbox,outputs/chatterbox/hindi/conversational/conversational_05_followup.wav,success,,,,,0.615259,0.615259,False,0.615259
Hindi,Chatterbox,outputs/chatterbox/hindi/expressive/expressive_01_success.wav,success,,,,,0.42349,0.42349,False,0.42349
Hindi,Chatterbox,outputs/chatterbox/hindi/expressive/expressive_02_progress.wav,success,,,,,0.510375,0.510375,False,0.510375
Hindi,Chatterbox,outputs/chatterbox/hindi/expressive/expressive_03_excited.wav,success,,,,,0.477236,0.477236,False,0.477236
Hindi,Chatterbox,outputs/chatterbox/hindi/expressive/expressive_04_reassure.wav,success,,,,,0.53845,0.53845,False,0.53845
Hindi,Chatterbox,outputs/chatterbox/hindi/expressive/expressive_05_finish.wav,success,,,,,0.450951,0.450951,False,0.450951
Hindi,Chatterbox,outputs/chatterbox/hindi/neutral/neutral_01_identity.wav,success,,,,,0.674241,0.674241,False,0.674241
Hindi,Chatterbox,outputs/chatterbox/hindi/neutral/neutral_02_technology.wav,success,,,,,0.588362,0.588362,False,0.588362
