model,model_version,test_id,category,expected_text,output_path,reference_strategy,reference_paths,parameters,seed,generation_time,rtf,status,error,configuration_id,asr_text,normalized_expected,normalized_predicted,english_probability,wer,wer_percentage,duration,rms,peak,clipping_count,silence_ratio,sample_rate,similarity_score_1_to_5,naturalness_score_1_to_5,pronunciation_score_1_to_5,metallic,missing_words,repeated_words,accepted,reviewer_notes
NeuTTS,,air_01_greeting,greeting,"Hello, welcome to Infinia. I am ready to help you today.",E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\neutts\english\final\air_01_greeting.wav,english_reference_or_zero_shot,,,,86.0421411999996,20.19768572769944,success,,,Hello welcome to Incident EO. I am ready to help you today.,,,1.0,0.1818181818181818,18.181818181818183,4.26,,0.59368896484375,0,0.0370500782472613,,,,,,,,,
NeuTTS,,air_02_identity,identity,"My name is Ratan Jyoti, and I enjoy building practical artificial intelligence systems.",E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\neutts\english\final\air_02_identity.wav,english_reference_or_zero_shot,,,,105.63083729999926,18.596978397887195,success,,,My name is Ratan Gyoti and I enjoy building practical artificial intelligence systems.,,,1.0,0.0769230769230769,7.6923076923076925,5.68,,0.48681640625,0,0.0379107981220657,,,,,,,,,
NeuTTS,,air_03_support,support,Thank you for contacting customer support. I have reviewed your request and will guide you through the next steps.,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\neutts\english\final\air_03_support.wav,english_reference_or_zero_shot,,,,112.10602980000112,17.353874582043517,success,,,Thank you for contacting customer support. I have reviewed your request and will guide you through the next steps.,,,1.0,0.0,0.0,6.46,,0.821258544921875,0,0.0469878740970072,,,,,,,,,
NeuTTS,,air_04_numbers,numbers,"Your order number is five eight two four, and it will arrive on July twenty-first.",E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\neutts\english\final\air_04_numbers.wav,english_reference_or_zero_shot,,,,53.81177610000304,8.651410948553544,success,,,Your order number is 5824 and it will arrive on July 21st.,,,1.0,0.375,37.5,6.22,,0.67510986328125,0,0.0467041800643086,,,,,,,,,
NeuTTS,,air_05_expressive,expressive,"That is wonderful news! Everything worked correctly, and I hope you have a great day.",E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\neutts\english\final\air_05_expressive.wav,english_reference_or_zero_shot,,,,52.80468509999628,8.742497533111967,success,,,"that is wonderful news, everything worked correctly and I hope you have a great day.",,,1.0,0.0,0.0,6.04,,0.75274658203125,0,0.038258830022075,,,,,,,,,
NeuTTS-improved,,air_01_greeting,greeting,"Hello, welcome to Infinia. I am ready to help you today.",E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\neutts\english\air_evaluation\air_01_greeting.wav,english_reference_or_zero_shot,,,,0.0,0.0,failed,model_load failed: No module named 'neutts',,,hello welcome to infinia i am ready to help you today,,1.0,1.0,100.0,0.0,0.0,0.0,0,1.0,24000,,,,,,,,
NeuTTS-improved,,air_02_identity,identity,"My name is Ratan Jyoti, and I enjoy building practical artificial intelligence systems.",E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\neutts\english\air_evaluation\air_02_identity.wav,english_reference_or_zero_shot,,,,0.0,0.0,failed,model_load failed: No module named 'neutts',,,my name is ratan jyoti and i enjoy building practical artificial intelligence systems,,1.0,1.0,100.0,0.0,0.0,0.0,0,1.0,24000,,,,,,,,
NeuTTS-improved,,air_03_support,support,Thank you for contacting customer support. I have reviewed your request and will guide you through the next steps.,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\neutts\english\air_evaluation\air_03_support.wav,english_reference_or_zero_shot,,,,0.0,0.0,failed,model_load failed: No module named 'neutts',,,thank you for contacting customer support i have reviewed your request and will guide you through the next steps,,1.0,1.0,100.0,0.0,0.0,0.0,0,1.0,24000,,,,,,,,
NeuTTS-improved,,air_04_numbers,numbers,"Your order number is five eight two four, and it will arrive on July twenty-first.",E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\neutts\english\air_evaluation\air_04_numbers.wav,english_reference_or_zero_shot,,,,0.0,0.0,failed,model_load failed: No module named 'neutts',,,your order number is five eight two four and it will arrive on july twenty first,,1.0,1.0,100.0,0.0,0.0,0.0,0,1.0,24000,,,,,,,,
NeuTTS-improved,,air_05_expressive,expressive,"That is wonderful news! Everything worked correctly, and I hope you have a great day.",E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\neutts\english\air_evaluation\air_05_expressive.wav,english_reference_or_zero_shot,,,,0.0,0.0,failed,model_load failed: No module named 'neutts',,,that is wonderful news everything worked correctly and i hope you have a great day,,1.0,1.0,100.0,0.0,0.0,0.0,0,1.0,24000,,,,,,,,
neuphonic/neutts-air,,,greeting,,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\neutts\english\air_evaluation\air_01_greeting.wav,english_reference_or_zero_shot,,,,,20.19768572769944,success,,,,,,1.0,,,,0.1002648937153498,0.59368896484375,,,24000,,,,,,,,
neuphonic/neutts-air,,,identity,,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\neutts\english\air_evaluation\air_02_identity.wav,english_reference_or_zero_shot,,,,,18.596978397887195,success,,,,,,1.0,,,,0.074492994307087,0.48681640625,,,24000,,,,,,,,
neuphonic/neutts-air,,,customer_support,,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\neutts\english\air_evaluation\air_03_support.wav,english_reference_or_zero_shot,,,,,17.353874582043517,success,,,,,,1.0,,,,0.0850601528304611,0.821258544921875,,,24000,,,,,,,,
neuphonic/neutts-air,,,numbers_and_date,,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\neutts\english\air_evaluation\air_04_numbers.wav,english_reference_or_zero_shot,,,,,8.651410948553544,success,,,,,,1.0,,,,0.0984174928069406,0.67510986328125,,,24000,,,,,,,,
neuphonic/neutts-air,,,expressive,,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\neutts\english\air_evaluation\air_05_expressive.wav,english_reference_or_zero_shot,,,,,8.742497533111967,success,,,,,,1.0,,,,0.0878004637402264,0.75274658203125,,,24000,,,,,,,,
